hour_ending,cooling,poolpump,plugload,other,total
8129.0,0.0521603471649,1417.821552,4701.43030341,10970.0040413,17089.308057
8130.0,0.0,990.463992,5998.88361264,13997.3950962,20986.7427008
8131.0,0.0,754.1604,6296.91471369,14692.8009986,21743.8761123
8132.0,0.0,688.799832,6393.53667147,14918.2522334,22000.5887369
8133.0,0.0,553.05096,6379.08085005,14884.5219835,21816.6537935
8134.0,0.0,397.191144,6169.54773072,14395.6113717,20962.3502464
8135.0,0.0,276.52548,5422.3016397,12652.0371593,18350.864279
8136.0,0.0,306.691896,4534.36066164,10580.1748772,15421.2274348
8137.0,0.0,326.80284,3769.991616,8796.647104,12893.44156
8138.0,0.0,251.3868,3261.66011448,7610.54026712,11123.5871816
8139.0,0.0,316.747368,2954.15672289,6893.03235341,10163.9364443
8140.0,0.0,361.996992,2745.33907017,6405.79116372,9513.12722589
8141.0,0.0,356.969256,2702.74602498,6306.40739162,9366.1226726
8142.0,0.0,477.63492,2904.07207485,6776.16817465,10157.8751695
8143.0,0.0,879.8538,3150.2402694,7350.5606286,11380.654698
8144.0,0.0,1151.351544,3673.87314792,8572.37067848,13397.5953704
8145.0,0.0,1407.76608,3896.50882791,9091.85393179,14396.1288397
8146.0,0.0,1935.67836,3755.5278354,8762.8982826,14454.104478
8147.0,8.50064695966,2332.869504,3916.61154255,9138.76026595,15396.7419595
8148.0,215.127283811,2523.923472,3795.69376356,8856.61878164,15391.363301
